,0
447,sp140
448,fcgr3b
449,kcnj15
450,ffar2
451,alpl
452,cxcr1
453,cxcr2
454,lrrk2
455,mgam
456,fpr2
457,cd177
458,steap4
459,vnn2
460,ptgs2
461,tiam1
462,ipcef1
463,ldoc1
464,mthfd2l
465,eppk1
466,rnf149
467,bin1
468,ldlrap1
469,sel1l3
470,nos3
471,ctsh
472,chst10
473,e2f6
474,znf416
475,il17d
476,cldn12
477,ccny
478,fam174b
479,trim24
480,kbtbd4
481,cltcl1
482,padi2
483,nav2
484,arhgef11
485,pfkfb4
486,dnajc18
487,nomo3
488,nomo2
489,fam174a
490,gzmk
491,ctla4
492,ccr5
493,slamf7
494,dthd1
495,cxcr6
496,sgpp2
497,cadm1
498,samd3
499,zbtb20-as1
500,fcrl3
501,nell2
502,cd8a
503,crtam
504,gzmk
505,s100b
506,gzmh
507,themis
508,slc4a10
509,cd22
510,blnk
511,sh2d4b
512,pax5
513,auts2
514,znf608
515,nav1
516,pou2af1
517,chd7
518,lamc1
519,rnase2
520,rnase3
521,epx
522,clc
523,tcn1
524,nuf2
525,cenpf
526,kif20a
527,esco2
528,ect2
529,ccna2
530,depdc1
531,tmpo
532,lrrc37a
533,lrrc37a2
534,arl17a
535,linc00265
536,herc2p9
537,agap4
538,mafk
539,bend3
540,arvcf
541,ppp1r37
542,ep300
543,setd1a
544,arid1a
545,znf592
546,asxl1
547,polr2a
548,srcap
549,atxn2l
550,pms2cl
551,cherp
552,elmo2
553,zcchc12
554,akr1e2
555,thbs1
556,nfil3
557,map2k1
558,ch25h
559,pdgfc
560,met
561,il1r2
562,ncf1b
563,ncf1c
564,ncf1
565,lilrb4
566,dpy19l2
567,rab32
568,smarca1
569,wdr17
570,dhcr24
571,arhgef26
572,tmtc2
573,tex9
574,scn9a
575,ltbp1
576,hoxb3
577,cdk5rap2
578,cep250
579,ptprcap
580,epb41l2
581,odf2
582,exoc4
583,dnmt1
584,ankrd12
585,mier1
586,gcc2
587,mbd4
588,lrfn4
589,fcgr2b
590,hspa7
591,kcnc3
592,snx29p1
593,cited2
594,lgals8-as1
595,gadd45b
596,sertad1
597,adm
598,tubb4b
599,dnajb2
600,rasl11a
601,c11orf96
602,cxcr1
603,cxcr2
604,ffar2
605,kcnj15
606,alpl
607,lrrk2
608,mgam
609,fpr2
610,cd177
611,steap4
612,ptgs2
613,vnn2
614,kansl1
615,nbr2
616,stx16
617,lrig2
618,crtam
619,cxcr6
620,havcr2
621,ifng
622,akap5
623,grap
624,grapl
625,polr2j2
626,glrx2
627,ryr3
628,ano1
629,itpr3
630,stag3
631,lrrc37a3
632,lrrc37a2
633,grapl
634,depdc5
635,arl17a
636,rgpd1
637,rgpd4
638,ranbp2
639,xg
640,nudt9p1
641,gtdc1
642,bcas4
643,gas2
644,tp73-as1
645,gng7
646,nudt16
647,antxr1
648,gnrh1
649,hcp5
650,arhgap42
651,znf354c
652,fmnl2
653,procr
654,znf667
655,cdkn2c
656,pbx4
